,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences
71,microsoft/phi-1,24,not_processed_together,0.2631505921375002,0.1251346260256602,-0.0013094570021973068,0.18564295273047962
72,meta-llama/Llama-3.2-1B,1,not_processed_together,0.29660308988383566,0.11649006683149662,0.04837398280751363,0.17168077486392644
73,meta-llama/Llama-3.2-1B,2,not_processed_together,0.2736686578427539,0.11285638109695237,0.01432810075038356,0.16643188149765825
74,meta-llama/Llama-3.2-1B,3,not_processed_together,0.28337168678321156,0.10890391281897137,0.02873212777455398,0.1604427683750178
75,meta-llama/Llama-3.2-1B,4,not_processed_together,0.2939903376513336,0.11744779565412396,0.044483574937815136,0.17356851326288414
76,meta-llama/Llama-3.2-1B,5,not_processed_together,0.30552461044712004,0.12641473246438584,0.06158244224016702,0.18763108526707142
77,meta-llama/Llama-3.2-1B,6,not_processed_together,0.2975522401991228,0.12621699933778432,0.0497593660834978,0.18700953226440187
78,meta-llama/Llama-3.2-1B,7,not_processed_together,0.3169582980800382,0.1225693447688351,0.07856742013183864,0.1814436846506058
79,meta-llama/Llama-3.2-1B,8,not_processed_together,0.3081038342919993,0.11174020366272103,0.06543488697297209,0.16494183475320406
80,meta-llama/Llama-3.2-1B,9,not_processed_together,0.3143790742351589,0.1159431301402073,0.07471497539903356,0.17242373823952695
81,meta-llama/Llama-3.2-1B,10,not_processed_together,0.2913440570312088,0.10354272079416284,0.04055520393122321,0.1528441272588984
82,meta-llama/Llama-3.2-1B,11,not_processed_together,0.2939568092637108,0.11896356891788688,0.04444561180092169,0.17539909973573845
83,meta-llama/Llama-3.2-1B,12,not_processed_together,0.2895463415635028,0.1078756245954024,0.037898326789935134,0.15885217837742235
84,meta-llama/Llama-3.2-1B,13,not_processed_together,0.2877821544834196,0.11536576886919216,0.03527941278554052,0.17006940691690509
85,meta-llama/Llama-3.2-1B,14,not_processed_together,0.29395680926371087,0.11333640715673478,0.04444561180092169,0.16698558546142098
86,meta-llama/Llama-3.2-1B,15,not_processed_together,0.27455075138279555,0.10963373226741087,0.015637557752580866,0.16160792852132963
87,meta-llama/Llama-3.2-1B,16,not_processed_together,0.288697776411084,0.12403211812251759,0.036626832924631265,0.1834228742051038
